Wallet Address,Response,Is Bot,Spend,Total Balance,Transaction Count,Created At,Hodler Score,Temporal Activity,Transaction Velocity,Continuous Engagement,Funding Network
0x6865ade8cebec5cc1cf9d9a21967462b4b8e9afb,200,false,86261.06,1714.94,16,2024-03-27T13:43:11.000Z,53,false,false,false,false
0x709fd98925224edd8f6958412df2ccfa28f87321,200,false,78567.94,148.06,173,2023-09-10T09:21:35.000Z,37,false,false,false,false
0xa8538beffded4b0d34938bf53c0c96b0a80ddbf5,200,false,3515762.24,909.19,9371,2021-04-18T06:18:56.000Z,82,false,false,false,false
0x13928eb9a86c8278a45b6ff2935c7730b58ac675,200,false,6184549.38,1414.99,2546,2021-08-24T07:16:48.000Z,92,false,false,false,false
0x294bf2c9277e2c33f6614a72eadc6de4021b3926,200,false,88722.19,243.83,16,2024-04-18T18:53:39.723Z,80,false,false,false,false
0x5492e0112e49e5fed0a7b1278c76df655e509a99,200,false,3761117.37,617.4,12922,2024-04-18T19:19:43.484Z,78,false,false,false,false
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,200,false,23386184.13,22798.16,45812,2024-04-18T18:53:39.640Z,99,false,false,false,false
0xcdd60e7b7ade44053a67349a6e856c0ae33d2b91,200,true,3698832.29,8170.37,1132,2024-04-18T18:53:39.727Z,88,false,false,false,true
0x68ae2d90735f53d3a8d7b47504fed226e40ae8e9,200,true,12448.2,82801.9,89,2023-08-10T22:38:35.000Z,72,false,false,false,true
0x507e4f77f36da297a40c16ef184ea6c7b92ddeeb,200,false,1115325.15,840.23,1176,2024-04-18T18:53:39.678Z,89,false,false,false,false
