Wallet Address,Status Code,Response,Total Balance,Transaction Count,Spend,Spend Games,Created At,Hodler Score,Is Bot,Temporal Activity,Transaction Velocity,Continuous Engagement,Funding Network
0xb85e653e74060b092ef14c410d5fdf397bec856d,200,Success,33744.37,933,898484.916106994,14319.616729984,2022-05-04T13:27:24.000Z,91,False,False,False,False,False
0xb2580c5e3d49f9dc13508bc6cbc312619442c28c,200,Success,618.42,2587,1389103.41984299,33485.677523636,2023-02-08T13:45:11.000Z,79,True,False,False,True,True
0x649b0894ce2ba6199f923f7db0c45625020c2427,200,Success,1763.73,919,5789457.48256815,43.289551466,2023-06-27T01:00:47.000Z,72,False,False,False,False,False
0xf804376c7f753df0ff9f2fa0bfe7690bfaac91fd,200,Success,468.73,420,26002.420573777,1404.29179794,2022-05-22T05:55:16.000Z,92,False,False,False,False,False
0x6e0452a3fe6f0d1c07ba194ca1d78b392626eda7,200,Success,0.23,71,42607.13,505.81,2022-04-06T22:13:56.000Z,83,False,False,False,False,False
0x7675cf4abb1a19f7bd5ed23d132f9dffa0c9587d,200,Success,91374.63,610,3450962.22,183.38,2021-09-20T13:13:07.000Z,98,False,False,False,False,False
0x9963b81c797e6c43fac60233e9d4258933a8fcd9,200,Success,721.65,379,273757.598193341,20308.548429505,2019-07-20T15:41:39.000Z,92,False,False,False,False,False
0xd1e4a2d0824e082c7eb52d758931246acd3fce05,200,Success,1980.72,557,1897570.80219621,174.784380176,2020-08-19T08:44:29.000Z,96,False,False,False,False,False
0x7de54b0b0405be692ecb5038e73ef225baa3c5dd,200,Success,438.81,98,8095.75,20.82,2022-10-13T13:45:35.000Z,90,False,False,False,False,False
0x3514808d41f11e1d4b713f9ea5969e7ffd6284dc,200,Success,478.64,1057,313662.077034575,8182.573076212,2021-11-11T06:54:12.000Z,87,False,False,False,False,False
0xb385ef1e5c2cc0dc00103eebe7ce088cd95aea22,200,Success,3466.17,332,117841.235672132,399.482439273,2021-06-27T16:52:13.000Z,73,False,False,False,False,False
0x3185c1177057e24ff3dfbaf09d400558a497f183,200,Success,2669.27,764,1142630.71543747,3065.556416173,2022-01-03T22:57:37.000Z,75,True,False,False,False,True
0xa5d5404864e9ea3104ec6721ca08e563964ae536,200,Success,115.29,3265,862788.681340699,11980.627658375,2017-12-04T01:25:49.000Z,90,False,False,False,False,False
0x347125ab96e098a9ff7e26405a75aa227e119c15,200,Success,24915.82,1890,1330190.37213359,5121.117225415,2021-04-01T09:07:45.000Z,63,False,False,False,False,False
0x3cab8a0c0501d748c9c57431718539eab581e774,200,Success,63824.36,864,243459.516372287,28513.113931847,2021-11-18T16:20:11.000Z,84,True,False,False,True,False
0x849e9e8981239ee9f682c656e6dbf84e63ebdb32,200,Success,1295.89,56,33545.98358944,3.650098442,2022-12-25T01:12:35.000Z,92,False,False,False,False,False
0x3d4942d296761ed0bb535fe3004bcfd6e14b7e20,200,Success,1377.59,24,5251.85,234.39,2022-01-03T05:21:58.000Z,76,True,False,False,False,True
0x0668c934a1e5931ebb4037b43e7b10173fd3c0d9,200,Success,731.81,151,2787950.98083016,2.026181238,2021-04-08T13:21:00.000Z,97,False,False,False,False,False
0x50636ea92a6ea8bce533ccfee02d5c8e4384fe50,200,Success,508.39,411,214982.659485643,1148.028453309,2021-04-07T03:01:51.000Z,90,False,False,False,False,False
0xfd0e359a4b52f17740c181bd85408cba8cf88ec8,200,Success,982.77,388,218597.11,1274.8,2021-07-21T20:51:43.000Z,62,False,False,False,False,False
0x4152b1bafe296d206368b1c9d15f37c86c86599a,200,Success,3769.79,283,80172.13076687,1977.281727383,2022-02-01T21:18:55.000Z,87,False,False,False,False,False
0xa70ef67097c5680a38602de64eb5665e8ae7f659,200,Success,3329.26,621,336471.63053269,117.092341195,2021-12-30T11:14:36.000Z,84,False,False,False,False,False
0x4c021fd621bc4b1abf8d57bcf7906e1ba996fd8b,200,Success,909.08,236,30295.02,278.26,2022-04-28T03:53:41.000Z,86,False,False,False,False,False
0x54921460cf41bb117e7f20323bdd061666191555,200,Success,455.02,137,1093004.41071149,350.844221865,2022-05-03T16:31:29.000Z,92,False,False,False,False,False
0xd3eb6150c30d803bc1e69253d0c5ff473148203e,200,Success,373.35,81,1446.02999011,268.781678686,2022-09-12T23:49:01.000Z,90,False,False,False,False,False
0x2da91a3495cd5245e6b8b8baf0d5422762e5c079,200,Success,140.17,133,10073.25,283.56,2022-06-11T21:25:41.000Z,83,False,False,False,False,False
0x08d656d0d726febef66388ae5d827a45c0afde4f,200,Success,243.05,1042,550577.901024606,1698.276347999,2021-03-11T12:03:47.000Z,79,True,False,False,False,True
0x40b4bf74947aa6c58e67516e4c578160db6ae25f,200,Success,14645.41,194,37375.49,2436.13,2021-03-25T01:25:32.000Z,84,False,False,False,False,False
0x5d658a3542b72ed35b85b7bc68eaea26b1162a4a,200,Success,1612.91,402,904563.062774394,570.215963351,2021-07-14T08:01:49.000Z,97,False,False,False,False,False
0x7675291453daf025cef152bef7296d4ef9d72514,200,Success,243673.82,2860,8083988.72687869,38310.971217978,2021-05-12T14:51:42.000Z,89,False,False,False,False,False
0x8bf394245fb419e2e56843643441aab693b51fe6,200,Success,3462.66,115,89633.52883595,2404.045384057,2022-01-21T03:45:26.000Z,93,False,False,False,False,False
0xb59024c9a23ff4a913232526b2eb4cc400c0c2f2,200,Success,364.77,254,76931.910441679,453.415272302,2021-03-08T20:53:14.000Z,84,False,False,False,False,False
0xa7d63477bc2a51cfdb7ba11dd34b93638ac72e4e,200,Success,2488.33,1086,262125.44786435,256.450539234,2021-11-15T22:52:31.000Z,89,False,False,False,False,False
0x1600dd1dda1deef6b856747c04a03706f1be26e0,200,Success,356.89,0,0,0,2022-07-14T21:10:09.000Z,63,False,False,False,False,False
0x9b90f0d271dcad90df815e36e4e1bfe71a3a60e6,200,Success,33.05,5,35.68,5.46,2024-01-03T03:40:59.000Z,62,False,False,False,False,False
0x31997e73e2dcf07aeda1c9be2cebfb0b12468767,200,Success,2302.97,103,166797.485257093,81.497004576,2022-07-08T17:35:20.000Z,83,False,False,False,False,False
0x4e46ba5ee551cbeac1609d09a918a955bd3e481c,200,Success,3698.84,106,210408.586463262,10.097796683,2022-03-29T11:58:21.000Z,95,False,False,False,False,False
0x887ca19b435f17a4f635bcee3a0b7ef73559bf68,200,Success,1654.88,1411,646165.783038258,3603.398015141,2019-05-30T15:23:36.000Z,87,False,False,False,False,False
0xa0c14939e19d66bc774c4ee469fcad5c84aa1cfc,200,Success,2206.55,95,85766.207370239,12.988454461,2023-01-06T21:42:23.000Z,93,False,False,False,False,False
0xe11151f0e8cacdc5d484b3509ceb36bd85cef2b0,200,Success,91.6,1436,182656.914244424,1120.714139048,2021-09-10T14:44:43.000Z,72,False,False,False,False,False
0x19e9ba6c911c72d981c7ccbf948c05305d34264f,200,Success,710.8,334,68853.508757998,754.075257883,2021-12-29T18:23:12.000Z,90,False,False,False,False,False
0xb6166931b7d4cb447d839277a9192bc19633b71d,200,Success,103.96,1130,254340.06,123.86,2022-01-26T16:48:45.000Z,77,False,False,False,False,False
0x70f31da8ceb05a6442d22238f3446d02cdf28f72,200,Success,6689.09,1979,1279000.22934589,25782.217258429,2021-01-05T14:48:16.000Z,67,False,False,False,False,False
0x1d4fbafbe6b240313e96f92218d93b3eb7a7fbd4,200,Success,4434335.27,275,6976216.65168752,459627.662936865,2021-03-01T05:35:08.000Z,97,True,False,False,False,True
0x61352fe4070b68fa0c8f07d6767a85d001750237,200,Success,70.48,58,46921.79,11.21,2023-02-10T09:58:35.000Z,74,False,False,False,False,False
0x93089ab630519ac732629584714b93ed91cbde70,200,Success,8128.02,1578,724520.013922096,7127.925914009,2020-09-03T03:19:18.000Z,92,False,False,False,False,False
0x975ab1ea25e600c738f06c990fc84e21a5bad4c7,200,Success,7459.44,356,86259.506825509,101.488906915,2022-03-07T19:34:00.000Z,63,False,False,False,False,False
0xfab29b0163e4d301863889b2ae35a625076622c5,200,Success,92.96,37,603.88,8.3,2022-03-14T05:23:42.000Z,89,False,False,False,False,False
0xfb1953ae926fb89fbedf4b3eccf321e7cbf35365,200,Success,608.1,1367,585491.814699009,23768.670613701,2022-03-04T14:25:00.000Z,71,False,False,False,False,False
0x1087359d80df8a6fd8da26c5987a8e35a6377b64,200,Success,231.06,1901,1448515.40711117,13826.273092447,2021-03-12T20:53:34.000Z,57,False,False,False,False,False
0x80f0f18ad6ebc357763a9dfd54dd209e7f6f2b0f,200,Success,637.39,15,218.68,0,2022-11-28T20:50:47.000Z,86,False,False,False,False,False
0xde32466c5a1fc2d3fc3f42400fc2c61b2630dd77,200,Success,647.39,102,72483.752666541,6202.850260806,2021-11-22T02:35:13.000Z,95,False,False,False,False,False
0x0b169e800309ff435e95330c877696a6e17af581,200,Success,14396.62,1393,1047923.54875629,3418.974664498,2017-12-03T19:37:20.000Z,67,False,False,False,False,False
0x158f2f09504fec4332bcf405ca1c9d4224fbf80f,200,Success,1827.38,100,74149.898741929,787.632618798,2021-04-21T16:27:24.000Z,95,False,False,False,False,False
0x33fc8c80674ef3cf2f969cdccbc7fd490d50fcfe,200,Success,556.16,146,180420.845377941,3692.579190065,2023-12-04T21:09:47.000Z,75,True,False,False,False,True
0x844f7cd69aff8284aaff6a1855df6d79747b6a00,200,Success,27.55,61,8697.33,281.02,2021-12-31T09:08:51.000Z,78,False,False,False,False,False
0x32933f95c43cada60945372710941810bdf66592,200,Success,13804.07,86,4856.799513589,102.032700678,2022-03-20T22:05:21.000Z,96,False,False,False,False,False
0x4bb7fba588b4254536de4316e8fb346bbe275ecb,200,Success,1030.07,12594,7941957.58346331,7853.642448899,2018-05-11T09:43:39.000Z,91,False,False,False,False,False
0x66666f58de1bcd762a5e5c5aff9cc3c906d66666,200,Success,772300.44,945,19241161.5525933,0,2023-02-12T04:01:35.000Z,93,False,False,False,False,False
0x2da8be16151b6b5b53397ebde81927ff7dc7f57c,200,Success,0.85,131,34597.813263927,236.646891292,2021-12-31T09:45:49.000Z,75,False,False,False,False,False
0xaba33fa6f071f3bc44d83d7d72c8e35f7fe88a95,200,Success,7114.58,1519,1674863.34790904,10735.777656906,2021-09-09T00:10:33.000Z,71,False,False,False,False,False
0xd15f2a1084f9ca0301bfe85061fe447502078601,200,Success,827.61,155,26981.31,1239.42,2021-12-20T00:45:33.000Z,98,False,False,False,False,False
0xf7daddb9553d6c0ad80c66c7cfff281b1d5f35ad,200,Success,4624.95,281,301447.609781229,143.968382297,2022-08-28T20:39:45.000Z,91,False,False,False,False,False
0x51b5e6a9c37787a8510fa9b4287775c7a13e8a9d,200,Success,30469.45,1023,1413281.73585766,5408.689102047,2021-04-01T04:52:27.000Z,89,False,False,False,False,False
0x954e128f3e3d85ba3adafb9d53e7c060833e2bb0,200,Success,1294.13,923,77550.748953483,156.111426218,2021-09-23T10:38:02.000Z,95,False,False,False,False,False
0xd87385111493b6aedd3a6e706367a901d2760435,200,Success,892.97,106,12287.970644681,88.84273402,2022-02-09T06:17:31.000Z,95,False,False,False,False,False
0xdc0713ae8f71bf8f4cb649cabc80e195623cfa54,200,Success,15308.93,437,444891.284264507,3555.973306184,2021-09-05T15:24:52.000Z,94,False,False,False,False,False
0xeeb3fae739097ad99695b3a9c0eec6dd604d79db,200,Success,6349.11,1701,578955.156255277,31988.418531737,2021-06-30T20:29:14.000Z,74,False,False,False,False,False
0x07587c046d4d4bd97c2d64edbfab1c1fe28a10e5,200,Success,59027.72,8385,4643222.62202855,6794.420952553,2017-12-04T17:04:38.000Z,97,False,False,False,False,False
0x8884b3421f46d091632cacf12bb97d4a1f8f2db2,200,Success,4200.74,1158,312734.832260312,601.720374491,2021-11-24T23:20:45.000Z,59,False,False,False,False,False
0x8a3d9b45ed9d3e46af38e0976812acfdce0cc56b,200,Success,252.61,2349,932008.879806164,13183.673251041,2021-06-02T12:48:47.000Z,78,False,False,False,False,False
0xaf2acba0aa7a30439e8ae387b694b77094f772a9,200,Success,148.37,599,62566.287891439,3803.032601473,2021-04-29T21:07:31.000Z,87,False,False,False,False,False
0xba29fcf5f4c92db1e4e5103f00a31f1deac6a590,200,Success,489.43,449,144173.883047165,2404.179925002,2021-04-26T22:48:40.000Z,84,False,False,False,False,False
0xe31049608bdb594fa11295ccb90b162a04ff715d,200,Success,601.74,337,59256.644415891,119.937506507,2022-03-03T22:31:38.000Z,89,False,False,False,False,False
0xe3bac3c1173452618ce91e5653b0b715903338c3,200,Success,51.26,509,237400.07544807,181.274074398,2022-01-02T15:19:47.000Z,75,False,False,False,False,False
0xedbfb42d53e6c3a99f770b50288da0e4702f6524,200,Success,16097.17,1341,1092944.56203978,250.457305323,2021-05-20T17:42:03.000Z,83,False,False,False,False,False
0xf7eb82adeff632c0fdba349d4fd69fc3ed0a698a,200,Success,870.97,2529,1180022.80081086,16447.327363436,2021-05-24T11:33:51.000Z,92,False,False,False,False,False
0x3aafabec90ab6dfd9402ff8f7afde1d03ba14235,200,Success,1972.89,1385,1435706.27308638,36436.478895607,2021-05-25T16:07:14.000Z,94,False,False,False,False,False
0x69f7a4a7e11ce08e016837b9dd944e662bb2894d,200,Success,1187.11,9,5946.2,1911.77,2022-06-03T06:42:02.000Z,92,False,False,False,False,False
0xa7a9f8755db6f69af33f86fdcee95292d8d78498,200,Success,18.84,256,11069.694302211,7.411008478,2023-01-22T00:42:29.000Z,71,False,False,False,False,False
0xc32e6100fb7b88b8c6bf3c55a8df31fb949eb047,200,Success,1061.14,5,2682.98,408.81,2022-08-04T12:37:28.000Z,93,False,False,False,False,False
0xd3b222bf5bdeefc1df94c980b145a6716d16badd,200,Success,1665.5,25,33421.6,146.98,2022-03-05T17:00:38.000Z,84,False,False,False,False,False
0x0d1c127e5faca9dee68a22b303f50c7f4fed0a67,200,Success,436.94,1339,809616.143204684,8049.98957981,2021-09-04T05:16:44.000Z,90,False,False,False,False,False
0x139c83cdd49de7146875c312278d625241078981,200,Success,714.55,144,132295.52,1905.86,2021-04-25T18:41:15.000Z,98,False,False,False,False,False
0x21c1220ada24a69beff19a99ff83493d1e6c9298,200,Success,10276.57,857,1458247.56876932,62633.588680104,2021-11-21T00:58:28.000Z,69,False,False,False,False,False
