"HolderAddress","Quantity","PendingBalanceUpdate"
"0x29469395eaf6f95920e59f858042f0e28d98a20b","334","No"
"0x3f22fc93143790a1bd11c37c65a0a0f7e7875ea2","162","No"
"0x3eb879cc9a0ef4c6f1d870a40ae187768c278da2","143","No"
"0x9020974187aaccc6bd94fb3c952f029215b4fa9f","121","No"
"0x4182a46c61c3ee40e61304f8b419f813eeced3b4","68","No"
"0x4d3aaafa919f18883d16a9a9d1ead0cc55fa9a5a","48","No"
"0x796b157c2a4f01663934b04cc11e61a920711d32","45","No"
"0x7e9f74ecfa5054b8672db762a2cb977379f33628","41","No"
"0xfdd6cc8f6849e82f5e0102057fa74941024d11b6","39","No"
"0x0fbc63632cb41a7c4242ca738b7532d9c1065cc3","39","No"
"0xe5442ae87e0fef3f7cc43e507adf786c311a0529","34","No"
"0x0da7e3de48eabfa788f1b931f9305c19601a78a0","33","No"
"0xe84b59500c00fe0890292cf3aa64ab45b18d7bb2","33","No"
"0x9355e3fa0d4b14a14ca160497e20438249b7c360","32","No"
"0x8d689e03721df8fcfa5a5f8d98ae71bfcd43d3f1","30","No"
"0x076319f1d1e960f4f087c58cde74a147f51b6f57","28","No"
"0x35f0686c63f50707ea3b5bace186938e4e19f03a","26","No"
"0x7e6601a0cb2b5ae129c09661846a053ea07223fb","26","No"
"0x2befaeaa756c700d11ee11d675e4f60a136bd330","26","No"
"0x89bc08ba00f135d608bc335f6b33d7a9abcc98af","25","No"
"0xcb450c8e269b8b96c944bc5b19c51100bdb4139b","23","No"
"0xfc3e9a8d5090357d8b25013da0417314e80b01d4","23","No"
"0xccdead94e8cf17de32044d9701c4f5668ad0bef9","23","No"
"0x188b264aa1456b869c3a92eeed32117ebb835f47","23","No"
"0xb8082130a600ee4e174f9c95f48cca18c7498097","23","No"
"0x3996f37cb19ce18343ab0e4cde6455f20cfcd3ea","23","No"
"0x1113e21a4f97650e0c0a83d383060258652e747b","20","No"
"0x201eec84a2992685b689849844b3bcfba3e56e85","20","No"
"0x680a0ca70fe188f9897b835b2dac1d3b73cfaa43","20","No"
"0x4a7c6899cdcb379e284fbfd045462e751da4c7ce","19","No"
"0x82e4d78c6c62d461251fa5a1d4deb9f0fe378e30","19","No"
"0x00bab174e556e4e89c8335eb0773fc34d9ff66da","19","No"
"0xcf6b8a78f5ddf39312d98aa138ea2a29e5ad851f","17","No"
"0x25cf64beb03949c6283e719a67434ec64a564534","17","No"
"0xdc3b2dce95ebd1e7c18eaa37780d10d240146660","16","No"
"0xae18f036459823223f5baad8137dd50663f96644","16","No"
"0xfe92a7e528e3a957a8979d077f1981ebfb62722c","16","No"
"0x59794536300ef36420c9db14a91ca77eb4e4bbb3","15","No"
"0x878d7567017fdd2b59d97f00cabc598ea5b5a1a2","15","No"
"0x34b14e83d7da6c6a30c46bf89ff93b066e139154","15","No"
"0x9a773a0c1710a5afd9d25eb5b0d2dca2239663e6","15","No"
"0x478f6f994c6fb3cf3e444a489b3ad9edb8ccae16","15","No"
"0x4b54caf0caaa938a1d11c07927ec4c45a3948eb9","14","No"
"0x4b94b38bec611a2c93188949f017806c22097e9f","14","No"
"0x94dfce828c3daaf6492f1b6f66f9a1825254d24b","14","No"
"0xbcb5dc467d09d518a0eba0bd968a3ecfb37768c8","13","No"
"0x54c21b7d20836cfcfe3f6ef0d79197fdcf799585","13","No"
"0xada5542b0da23a1a3f3ee7137aa1a25095b15388","13","No"
"0xb250a2e05e80dce25b94e11be39f7608b27a6148","13","No"
"0xdbdf5542eaa6af219ddc76794647dab8a1cb9502","13","No"
"0xd663712098d4343ab98762d0baec34dfe5feedb7","13","No"
"0x7d551b4aa5938d18be5c5e9fde7fece9566611ba","12","No"
"0xa3182a14fbb84935ddd96e79128a27d817029a36","12","No"
"0x1f2429fb6ea7923d447223cd4177b3be487a7c47","12","No"
"0x7822a2151ad319040913d0ea4b93c64c0b49bf1b","12","No"
"0xbac304b8ae6ce953d18fc75cf09dda7b6eb29a6f","12","No"
"0xa0fcd6df8a83b449c2fc6cb829318282f95a288e","12","No"
"0xd13904284752e4a21f3118e1de3166f7861f71c8","12","No"
"0xc6e50f2443d6c1e627de9364cf1e3b97586038f4","12","No"
"0xad87b447586ccc8a09f20ba88ee73967ebb34a5a","12","No"
"0x56a355dc85c5a11aa093a1a28494b01e5295f54a","12","No"
"0x1d360d343a2873a75e4f6def615098ec8fa88ec5","12","No"
"0xef30fa2138a725523451688279b11216b0505e98","11","No"
"0x020cf21cb58942e2c2fa355c4646d61b576e19c0","11","No"
"0xf50c6bbf8b048e91a41a999dfa4492f0d7b09cfe","11","No"
"0x81c288d8e25d6a1af714a3fadecaa90b0b5936c0","11","No"
"0x38d2276032593c7cc6d0ec58aff942c0fd706ce1","11","No"
"0x59f3eb596b0af6ebb197362c5f191a9abadd4f7b","11","No"
"0x1a5f5821f7594f9757123e133c06cdb686ef45a4","11","No"
"0xe793eaedc048b7441ed61b51acb5df107af996c2","11","No"
"0xb66c7812abda0ae99e1712dc1203d29c0da48ad4","11","No"
"0xbb2dcdac2ea04421b59d23effd033e1354c79edc","11","No"
"0x0f0eae91990140c560d4156db4f00c854dc8f09e","10","No"
"0x14929281cb3dc7f7e47c95a977c05ed4b85489d0","10","No"
"0xe68ac1517954f6af5d331c10e9cd6f8b2b01613d","10","No"
"0x1ef2418fcc3f08fca7b88a082e1d9c088c15cbf4","10","No"
"0xdc2ac5d6df6dc7bea18a71b8da7bbd69d479ef72","10","No"
"0x1104d5ec5843b731eaa8ca21811e5a9a79333cc4","10","No"
"0xc0cb2d4a92624d3af362f6fe58c47a46a65bc2eb","10","No"
"0x0325e7e8ec404ef40c681c9d2ab31169afc85d12","10","No"
"0xd87666833ba1b370ac77f609696267ea8f30a727","10","No"
"0x1d5eeb0d67b1c7dd48048c80423f77426f2ea52d","10","No"
"0x4a2c786651229175407d3a2d405d1998bcf40614","10","No"
"0xec031072ef1409d4d11129e172fcbb9a716fa21b","10","No"
"0x93ed17ca0044b3a97ef51de45548daa101dd5a79","10","No"
"0xc48b0a61326cce04d654c5774c355849b873730b","10","No"
"0x7e926d7f4b9361f1a553f8eb54321092930ef401","9","No"
"0x9de092bd0645d1ae81b4437fb6bf45de66f90060","9","No"
"0xc1ee7c1b553433e89ca25900e876de33d76420d8","9","No"
"0xe5001ce56a6e8ea0875086c404adb9d0a1ed5364","9","No"
"0xa3b49bd30902a75e7452691ae37688a56cd365fc","9","No"
"0x7fee302a14d6b945c0eb6da9c4426c8d75d38a73","9","No"
"0xf8fc9e01b7e6875a35d903fae01d4d7bdae5358d","9","No"
"0xc4508a10a2bc96e28b434cfa0d0f0858bcbc1784","9","No"
"0x3df75f8a0e1b8f674d48d8e1e44f846c1607e738","9","No"
"0x0cc3b5015c678685f3552fb1a1bfa53112b71486","9","No"
"0x8bf23e9225624fc64c75af498afe779351dfa860","9","No"
"0x5984bb82f11171cb1dc2287e2a6935c44d491538","8","No"
"0x57b82d93a7e7f4c57b046794aa43faaf828d49cc","8","No"
"0x704c8c855765b4c053cc2dc02b3f318caf2ab732","8","No"
"0xa59c818ddb801f1253edebf0cf08c9e481ea2fe5","8","No"
"0x3f8cd3cc58391e704a2a0fab2482b8116cb9d670","8","No"
"0x2c2c2f6dbe08942280d4f7626b6bad5c11d20215","8","No"
"0x7811c6a535ddff8f86bfdeade882e744bc9fe380","8","No"
"0xe4ae63c74cba2263842fb187bbac793fe60b2069","8","No"
"0x6d5ebfbe5c33394a7d1f6c37f74173bab3e0e9f6","8","No"
"0x81c3e8b7cb0c8fde07d807138116982a9e581c39","8","No"
"0xfc2ddf666d313614041e52e2cc18aeedb1ba9348","8","No"
"0x0f27b32b5b70c99b571c9887cb70b29aed333850","8","No"
"0x1ab65eca96d51ad4d85a40c99cc6455f1af824e8","8","No"
"0x95fcfe0498dd110266845c7c621fd479e899ae55","8","No"
"0x8a2ab4edfee29693cd155eb233543c15b6cffdbf","8","No"
"0xd9cfab54f1234aeea22b2818ab919866a2809c1c","8","No"
"0xf19a15a7858447735e2abd4464abc4ada5bfd0d5","8","No"
"0x643f1ca9edbee8fb192aaad3410003684161233a","8","No"
"0x6cbc1a4ec5b47e3fc0a7b8150b06081dd98e6b88","8","No"
"0xddb5cf58a8ae1aa49faf9cb6f3654128a5ca49f1","8","No"
"0x99e836c2aa751bc7537a1cf4e3f39cc8be2f501f","8","No"
"0xdb955c445f9733240964d04f1b6865564d319552","8","No"
"0xb970c89c27380363626d44f84e2844617e9ff969","8","No"
"0xfe5573c66273313034f7ff6050c54b5402553716","7","No"
"0xf041c4f026547f7fbea6904f77bea16997024751","7","No"
"0xd901f610fe9f499805205533c3639921962991f5","7","No"
"0xa01f3ba860ee63acecf8a362d2a4b4307e4274b7","7","No"
"0x6ab615cf8decfc488186e54066fc10589c9293a3","7","No"
"0x4f046178c16e696fd3c4d5978425c8f4af522061","7","No"
"0x794c262366a9659f63db6181428642d810a626a3","7","No"
"0x50c8b7e03639a421c4f6069708c8348bdbb53167","7","No"
"0xe2e96fb14f95c9b6b892926f4ddeab6bfcfdfaff","7","No"
"0xbb0d4ccf4e095a2d6a9a2bee2985a703c1ca9b69","7","No"
"0xc475c0af0b199239f8162bb5ea71b80d0687ecc1","7","No"
"0x546352ae1d5bacde3fdfa15bddebc8974b86af0f","7","No"
"0x428ed7c65aa0deff25d8455899f585308dd43651","7","No"
"0x209834b1f4e96c4d306261159595b24c4cd23541","7","No"
"0xad36ee68717899d89331073b22f78b633846d389","7","No"
"0x33a6514ba9a79fbf74ff1a9d08ab7eb44742c8f0","7","No"
"0xf67d2e8eb033cf7e6da9a1d75035d2176da7b2df","7","No"
"0x43aa2b5a13aef44f4166f1597f5124351807341b","7","No"
"0xaa6be4e0e099e230ab5a809da8b07c9773b5407d","7","No"
"0x97331182fe9fab559aa017e03eee8de770eb6dd1","7","No"
"0x6b4277a8076eae3360a221fb710d7eb26244aa1f","7","No"
"0x4ff0989aed36139596384c2137a356964d8db2cf","7","No"
"0x1a9b762a62dd15d8e49e950721fa19e67fdb0590","7","No"
"0x83a2fc8c7958422faa8a003e955751d696f546e1","7","No"
"0xcde3621e059ffb03f3c98a4e1285a8d0cde9a0a6","7","No"
"0xe4d7811fc629c6630826fa3164fc838aa36bcc4a","7","No"
"0xfc304bf5c86b3675c01f645a3df19e1cceb36b26","7","No"
"0x67a402bf6a80ebab97f08bc233335581c311e07b","7","No"
"0x596a2482604947b06f066b9dad58d528a552f00d","7","No"
"0xee26219c01dc409b69549cb800fb99c6a85982fc","7","No"
"0xf1af4478bdc3a8577fdd7cef9b828686fe15593c","7","No"
"0x07ebea406c7ea7c1767a18551eb3ee7f91931989","7","No"
"0x7c3133bc71aebe599878d049cbae0ddef570d2f8","6","No"
"0x3f3dedd362020a229cca78d19d535d6971fd667e","6","No"
"0xd9e912afcea495dc8789bd2d6c0004473e48521f","6","No"
"0x1d3643399e5534dd49f2b04f2f0615153bd209fd","6","No"
"0x163c1d864e91900f1993f57f5eafee36f14b9cd2","6","No"
"0xafd08b2bf59be01ad92570a40233ff1f246e3e5e","6","No"
"0x1329809449fe95cd1c9c36fc97796b71db2278e6","6","No"
"0xb33430f170743e25397ecbc4e2fbdf748b2c7649","6","No"
"0x488c636d0a928aece719519fbe0cf171b442abd8","6","No"
"0x6f2bcc0251409db3705e474ceaf909ede7dfa1ac","6","No"
"0x68f84b647841fdac170a827b805d7694a8fcd73d","6","No"
"0x9076522f767597b93fa83f39ce163777bf20c3b1","6","No"
"0x7c49fa78352e128cbad1e33508394dc33dfad7cc","6","No"
"0xf28761dd37f0a888c08cc6e7bdfde12941bd6eba","6","No"
"0xf852bf0ba16fbfc7e029354e12761c756d7e5406","6","No"
"0x02b162a295ed360e4b63a407ed577c52e5f66909","6","No"
"0x20c1cd5c2ca77bee95281e6a798fbfbfab514738","6","No"
"0xc6cf5a020bcfc65c6f8181c04cbb5ef5050fe28e","6","No"
"0xdc5dc5b18f09cdf1ae14862e8e4665369e614ce7","6","No"
"0x9359301a9649b9fb9f29609848da3dbd7fe13fa1","6","No"
"0x2a578a939bdc5486fa8c4f0ef865b71cca03ab7a","6","No"
"0xa00b39138482ad0570b04f28263191ec12bc5d4e","6","No"
"0x04b0deb6f6632fb21c88211eb0023f80ac7e2820","6","No"
"0x63a6b4616cdc0e0fe990d62d8b4d12d3f3ace2b9","6","No"
"0x46dad30b36ff954966fa65cf03e06bc7dd83cf7a","6","No"
"0xaed276628303cc011c98f79a07aff3f49d196e47","6","No"
"0xad98ce34d51413abea15af586a963c78db0b5629","6","No"
"0x7233bc1549756d328343b0dcc57227b8e6a367c8","6","No"
"0x992a5cc46bb5dfc2c92be1b672da52f6dba3d44f","6","No"
"0x0e91be4794fdee9b5110596021dfa60d19f0cfd5","6","No"
"0x23e802a798baba9bfd8afb05dc1277cec4fbb16c","6","No"
"0xad0edb9983fa825eab0c1cc61326cd7137da7e44","6","No"
"0x28350da637f2127b9850a01978ceb3f436729fe8","6","No"
"0x24fecc42cb5fea6c0cfde1e2a274b6d7d1167242","6","No"
"0x22389e05155423eb19f1541073da43d07a1a810b","5","No"
"0x0ed7643fb4eda6a98da2a942da73132ad03581ea","5","No"
"0x6a42fc9cb17c5034e9293e0ad960c7592de3f580","5","No"
"0xabea7663c472648d674bd3403d94c858dfeef728","5","No"
"0x0174998c7e8fa81d45de706a1c911497921a8122","5","No"
"0x831962f46cbc9da96919b1faea3e1cd29628fb21","5","No"
"0x447c3e43d795845add123dadb8a9918e045f0ca7","5","No"
"0x78d9055b4e1f38a2955c0f792697e266ff840afa","5","No"
"0xb4024293bc7151dc0ae8e76cd256812eca82ecd3","5","No"
"0xfbcfe39834bb75689346114965facc3417030ec6","5","No"
"0x33f6ad7d3fe4c01d41d25cb18e720d1277f50563","5","No"
"0xdb06b20458e156e27f60b33b965a3551bbd8857c","5","No"
"0x787349b0c7d3bdf2583f2ba586b4990074593be1","5","No"
"0x51636d9efbfb79631824dd6107d54f2dcf548359","5","No"
"0xf43cfd2427e0bccb77f26a5f409fc1d3b7e3d3e7","5","No"
"0x502024e097f1c6c3b2f8b7a974010956b1264bc3","5","No"
"0x8b58f7c312406d7c6a5d01898f0c5aef31ee51a7","5","No"
"0x74144fb8749f99382091118f7487f4a541be6d77","5","No"
"0xc404dd1cd172aef530db7992c2e1303f3f4d33c4","5","No"
"0x0893540ab6492a2b7a764cebd2a2b087c3043ce2","5","No"
"0xe44814fe12d3905deb87bad824ac9a89ec1291ad","5","No"
"0x30a5cd1ffc787f4e579d8707c9c505c7c2235dc5","5","No"
"0xc084508124a8b76e44a07418a92a868394153771","5","No"
"0xeca9c66692bb06d64e0289042409c69289c67c23","5","No"
"0xf40d8fe48215775b79cc62dc150b92ada272bc8a","5","No"
"0x99bd824a187da571007222382f629bb13c401586","5","No"
"0xdf45e0868c741341fc14b43f59d641422542c578","5","No"
"0xe0e3a01c60e3a43dab812da211fa4748f6bb814b","5","No"
"0x9307547d686b2909b4c4eb932777a2d5615dece0","5","No"
"0xb680abeb285dbc04631be689f14b692958a56913","5","No"
"0xa3fcf494f2731ece78959d7dc7381ba34f87ae15","5","No"
"0x539631ff5c7fea110fef2b026ccd36c2109b8069","5","No"
"0x36c83f85d97654d8739dde10fdbba3a58d28a445","5","No"
"0x00eaab9660291c3e2fdaf1e49d9f804227d5da13","5","No"
"0x18a24da9965e5aa012b58552cc1253c42809703f","5","No"
"0x286fefaf181395e5c6c3043904919e5a0fe01088","5","No"
"0x82e97cf1e17ff380b46ea6c8d2e76f9a159e9b1b","5","No"
"0xd32f6dc799f01f8b0fc5c16ffdf680d397d57592","5","No"
"0xcd1b2fde5bc12a971b6fee281c47618e34b855a8","5","No"
"0x4ce8337424fab98500b48ba022d56cb25a4d088b","5","No"
"0xaaa0fd584c23e2be5d2f1c79304751558837b744","5","No"
"0xe2ab3d111d41bcac9a26f92cc8eee9ae93386d0e","5","No"
"0x6eb7f3d3d2addfd45d868c7e34959b5be5787412","5","No"
"0xafa3b80da8443b357640f769134d598286b6dd78","5","No"
"0x94dfd2e0327f044bf1fcd13c2e273b34013eaf2c","5","No"
"0xf8bc3f72296e2aed83601ceb557c8c0a9145ca98","5","No"
"0x967cebc321c00b81b68394aecebfa403effd15f7","5","No"
"0x6483983665c4171eb59c4fac8b87f3e33e78f08f","5","No"
"0xe5f0446e397e4065e1bbec1896bbc2ba7fbf588a","5","No"
"0xe0866f5d890bfdd6a4df9b714cd6fd0e0fcbe957","5","No"
"0xdf4ad7230bb41e328618f7b65d2f4803c595b28a","5","No"
"0x6fea2d83dbdbfae002f220fdf8b899ea1fef66a8","5","No"
"0xe8110b7bd6496f5fd0cdb198f8617c6270ef6217","5","No"
"0xd874c3928544cef32ec36a9387ab20e07ef6b55a","5","No"
"0xe524494dc49c741ca0f1329c9d3edad64503e524","5","No"
"0xcfb4f4980963f60fed10aac337f6e9ad1efcafbe","5","No"
"0x8c654ee8d13077af894b541a0b69761e277eda0c","5","No"
"0xfa6a541fa783f732866258a9062c6bcf70a9383c","5","No"
